course_identifier,course_name,subject_code,subject_name,school_code,school_name,section,call_number,instructors,enrollment_count,enrollment_max,enrollment_status,days_times,mil_time_from,mil_time_to
ELENE9001,RESEARCH I,ELEN,,SEAS,,011,16391,Zoran Kostic,3,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,012,16390,Harish Krishnaswamy,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,013,16389,Ioannis Kymissis,1,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,014,16395,Aurel A Lazar,2,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,015,16388,Michal Lipson,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,016,16387,Nima Mesgarani,6,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,017,16386,Debasis Mitra,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,018,16385,John W Paisley,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,019,16100,Matthias Preindl,6,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,020,16396,Mingoo Seok,5,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,021,16397,Kenneth Shepard,5,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,022,16398,Tanvir Ahmed Khan,2,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,023,16399,Yannis P Tsividis,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,024,16400,David G Vallancourt,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,025,16407,Wen I Wang,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,026,16408,Xiaodong Wang,1,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,027,16409,John Wright,1,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,028,16410,Charles A Zukowski,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,029,16411,Gil Zussman,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,030,16412,Alexander Gaeta,1,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,031,16413,Savannah Eisner,2,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,032,16414,James Anderson,,50,O,,,
